Date,open,high,low,close,adj close,volume
2013-01-02,76.55,77.33,76.45,77.07,65.25,5036400
2013-01-03,76.99,77.98,76.37,77.47,65.59,3987000
2013-01-04,77.79,78.02,77.44,77.69,65.78,3431700
2013-01-07,77.54,77.69,75.34,76.13,64.46,7172600
2013-01-08,75.24,75.81,73.11,74.13,62.76,20268100
2013-01-09,74.92,76.81,74.91,76.76,64.99,10915800
2013-01-10,76.93,77.12,76.16,77.09,65.27,5026600
2013-01-11,75.71,76.1,74.6,75.16,63.63,9808500
2013-01-14,75.23,76.59,74.9,76.55,64.81,6221100
2013-01-15,76.21,76.98,76.18,76.94,65.14,3900600
2013-01-16,73.85,74.64,73.56,74.34,62.94,18212000
2013-01-17,72.78,75.63,72.68,75.26,63.72,21849200
2013-01-18,75.16,75.16,74.29,75.04,63.53,10829000
2013-01-22,74.12,74.27,73.77,74.16,62.79,9161900
2013-01-23,73.99,74.59,73.45,74.29,62.9,7784900
2013-01-24,74.41,75.54,74.41,75.32,63.77,7292200
2013-01-25,75.29,75.42,74.79,75.03,63.52,6163200
2013-01-28,73.9,74.65,73.89,74.0,62.65,7759000
2013-01-29,74.24,74.24,73.0,73.65,62.36,9296800
2013-01-30,74.42,74.75,73.73,74.59,63.15,10048600
2013-01-31,74.5,74.62,73.76,73.87,62.54,7639000
2013-02-01,74.49,75.07,74.23,74.87,63.39,6749300
2013-02-04,74.29,75.53,74.25,75.21,63.68,5799800
2013-02-05,75.69,76.98,75.61,75.89,64.25,6831200
2013-02-06,75.47,76.3,75.4,76.29,64.59,4716600
2013-02-07,76.32,77.54,76.28,77.43,65.56,7773000
2013-02-08,77.24,77.39,76.28,76.56,64.82,5100400
2013-02-11,76.42,76.44,75.85,75.87,64.24,3677100
2013-02-12,76.06,76.25,75.83,75.99,64.34,3597400
2013-02-13,75.67,75.83,74.63,74.78,63.72,4313500
2013-02-14,74.69,75.31,74.54,74.93,63.85,3830400
2013-02-15,75.26,75.26,74.72,75.03,63.93,3650700
2013-02-19,74.99,75.19,74.27,74.65,63.61,3882500
2013-02-20,75.64,76.25,74.75,74.78,63.72,7551300
2013-02-21,74.96,76.18,74.91,76.01,64.77,7438600
2013-02-22,76.7,77.03,76.48,76.66,65.32,5391200
2013-02-25,76.83,76.9,75.03,75.03,63.93,4936300
2013-02-26,75.43,75.91,75.14,75.65,64.46,3436700
2013-02-27,75.53,77.93,75.53,77.36,65.92,7160000
2013-02-28,77.24,77.73,76.4,76.9,65.53,5593400
2013-03-01,76.7,77.59,76.58,77.28,65.85,6024200
2013-03-04,76.95,77.4,76.17,77.09,65.69,4748600
2013-03-05,77.45,78.85,77.11,78.66,67.02,5693200
2013-03-06,78.67,79.28,78.49,79.08,67.38,3826100
